Symbol,ROA_TTM,ROE_TTM
COP,0.12155451718467625,0.23445792465273052
ED,0.03653213866830741,0.11389112008919473
STZ,0.06139179978646859,0.1744275983426733
CEG,0.035929604275919846,0.1516969642697233
COO,0.02378905254243879,0.03743426397750953
CPRT,0.20102088960114334,0.2282997523241935
GLW,0.020314792467900022,0.05002672367717798
CTVA,0.02127501895483334,0.03646418556479428
CSGP,0.046837144400858906,0.05721355951569057
COST,0.09492209826233475,0.2714670855711465
CTRA,0.11166892977713552,0.17663054187192118
CCI,0.03984176320994631,0.21855074505935815
CSX,0.09244429492301315,0.3128723339365228
CMI,0.08910197190277468,0.2825752026873437
CVS,0.03550117546043167,0.11865587726015302
DHI,0.15025075035143043,0.22275418746611655
DHR,0.0903665749052159,0.15051383801383802
DRI,0.0945317869622267,0.4674898684382539
