Ticker,Market Cap(mn),Year,EPS,NAV,ROE
SILVAPHL,2948.4,2022,0.75,17.03,0.044
ORIONPHARM,18626.4,2022,3.62,82.53,0.0439
TITASGAS,40459.173,2022,3.21,74.16,0.0433
SIMTEX,1615.786,2022,0.97,22.39,0.0433
BPPL,5068.768,2022,1.25,28.92,0.0432
NAHEEACP,4463.918,2023,0.8,19.06,0.042
POPULARLIF,4018.486,2022,3.8,92.68,0.041
CENTRALINS,1982.302,2022,2.03,49.48,0.041
ALIF,3457.029,2022,0.58,14.52,0.0399
IFADAUTOS,11712.869,2022,1.64,41.35,0.0397
BPML,10844.586,2022,2.92,74.31,0.0393
UNIQUEHRL,16898.56,2022,3.27,84.73,0.0386
SILCOPHL,2429.084,2022,0.81,21.95,0.0369
JMISMDL,7679.308,2022,4.55,124.25,0.0366
RUNNERAUTO,5495.333,2022,2.4,66.5,0.0361
WMSHIPYARD,2845.966,2020,0.86,24.06,0.0357
SAPORTL,6442.786,2022,1.19,34.34,0.0347
SAIHAMCOT,2439.91,2022,1.27,36.67,0.0346
MEGHNACEM,2220.222,2022,1.95,57.9,0.0337
ICB,74118.912,2022,1.79,55.59,0.0322
DOMINAGE,1662.12,2022,0.55,17.23,0.0319
SAIHAMTEX,1593.9,2022,1.37,43.4,0.0316
KTL,2756.433,2021,0.52,16.71,0.0311
DESHBANDHU,2252.101,2023,0.59,19.2,0.0307
RAHIMAFOOD,4754.048,2022,0.29,9.53,0.0304
SONARGAON,876.06,2022,0.33,11.41,0.0289
MLDYEING,5764.365,2022,0.43,15.18,0.0283
ABBANK,8517.881,2022,0.83,29.92,0.0277
ROBI,157137.987,2022,0.35,12.82,0.0273
AMANFEED,4387.508,2022,0.84,32.52,0.0258
SINGERBD,15144.861,2022,0.73,28.62,0.0255
SONALIPAPR,20264.586,2022,6.03,241.3,0.025
DESCO,14551.055,2022,1.59,65.96,0.0241
ALLTEX,979.44,2022,0.2,8.75,0.0229
BEACHHATCH,2028.65,2022,0.22,9.73,0.0226
ACFL,2672.083,2022,0.76,35.14,0.0216
ARGONDENIM,2527.773,2022,0.52,24.44,0.0213
ISLAMICFIN,2764.435,2022,0.3,14.56,0.0206
DELTASPINN,1415.097,2017,0.29,14.41,0.0201
BENGALWTL,2396.671,2021,0.5,24.87,0.0201
CONFIDCEM,7311.036,2022,1.43,72.24,0.0198
FUWANGCER,2670.874,2022,0.23,11.78,0.0195
QUASEMIND,4247.23,2022,0.49,27.64,0.0177
HFL,1593.503,2022,0.67,38.22,0.0175
SONALIANSH,3447.494,2022,3.92,228.58,0.0171
RUPALIBANK,12128.597,2022,0.61,36.1,0.0169
SAMORITA,1862.986,2022,0.86,51.32,0.0168
MONNOAGML,2012.937,2023,2.9,174.39,0.0166
IBP,1975.488,2022,0.22,13.98,0.0157
BDTHAIFOOD,2836.2,2022,0.22,14.12,0.0156
SAFKOSPINN,581.645,2022,0.33,21.44,0.0154
PDL,2441.217,2022,0.19,13.52,0.0141
INTECH,779.899,2020,0.15,10.7,0.014
BBSCABLES,10564.317,2023,0.46,32.99,0.0139
APEXTANRY,1531.62,2022,0.82,63.39,0.0129
POWERGRID,37346.894,2022,1.72,133.66,0.0129
BANGAS,930.969,2022,0.26,20.88,0.0125
SPCERAMICS,6319.54,2022,0.39,31.53,0.0124
MONNOCERA,4379.793,2022,1.03,83.01,0.0124
AFCAGRO,2707.581,2022,0.22,18.19,0.0121
EPGL,6560.631,2022,0.38,48.18,0.0079
KAY&QUE,1485.68,2022,0.59,75.64,0.0078
NBL,26723.838,2021,0.12,16.13,0.0074
NFML,1577.806,2022,0.08,11.75,0.0068
PENINSULA,3251.47,2022,0.19,29.47,0.0064
PRIMETEX,1115.44,2022,0.43,74.65,0.0058
MIDASFIN,1453.314,2022,0.06,11.6,0.0052
ACTIVEFINE,4630.776,2022,0.11,22.07,0.005
NAVANACNG,2047.48,2022,0.16,33.49,0.0048
MONNOFABR,2771.5,2022,0.12,25.37,0.0047
DACCADYE,1185.287,2022,0.14,34.64,0.004
DSHGARME,924.979,2022,0.05,19.45,0.0026
APOLOISPAT,3290.731,2018,0.05,20.19,0.0025
FINEFOODS,1841.762,2022,0.024,10.637,0.0023
KPCL,10571.191,2022,0.03,21.73,0.0014
ECABLES,4786.32,2022,0.34,344.06,0.001
GENNEXT,3068.842,2022,0.01,11.91,0.0008
BDTHAI,2440.507,2022,0.02,28.33,0.0007
AFTABAUTO,3620.193,2022,0.01,54.88,0.0002
